"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2020","1.0935","1.0813","1.0951","1.0766","","1.18%"
"03/29/2020","1.0808","1.1135","1.1143","1.0771","","-2.98%"
"03/22/2020","1.1140","1.0694","1.1146","1.0635","","4.17%"
"03/15/2020","1.0694","1.1083","1.1236","1.0636","","-3.70%"
"03/08/2020","1.1105","1.1291","1.1492","1.1053","","-1.60%"
"03/01/2020","1.1285","1.1001","1.1354","1.1001","","2.36%"
"02/23/2020","1.1025","1.0839","1.1053","1.0803","","1.68%"
"02/16/2020","1.0843","1.0830","1.0863","1.0775","","0.12%"
"02/09/2020","1.0830","1.0949","1.0957","1.0826","","-1.03%"
"02/02/2020","1.0943","1.1091","1.1095","1.0940","","-1.35%"
"01/26/2020","1.1093","1.1019","1.1096","1.0990","","0.64%"
"01/19/2020","1.1023","1.1090","1.1118","1.1018","","-0.59%"
"01/12/2020","1.1088","1.1123","1.1172","1.1084","","-0.29%"
"01/05/2020","1.1120","1.1166","1.1206","1.1083","","-0.34%"
